player_id,team_id,of_def_flag,"Right Side(R), 8-16 ft.","Right Side(R), 16-24 ft.","Right Side(R), 24+ ft.","Left Side(L), 8-16 ft.","Left Side(L), 16-24 ft.","Left Side(L), 24+ ft.","Center(C), Less Than 8 ft.","Center(C), 8-16 ft.","Center(C), 16-24 ft.","Center(C), 24+ ft.","Right Side Center(RC), 16-24 ft.","Right Side Center(RC), 24+ ft.","Left Side Center(LC), 16-24 ft.","Left Side Center(LC), 24+ ft."
Cole Aldrich,Los Angeles Clippers,of,4033.0,5630.0,5497.0,7058.0,1136.0,423.0,100.0,19.0,2530.0,1197.0,306.0,141.0,5.0,2216.0
Corey Brewer,Houston Rockets,def,5453.0,11889.0,5590.0,9526.0,6603.0,15522.0,5290.0,10130.0,9069.0,6736.0,13332.0,4567.0,6754.0,10528.0
Corey Brewer,Houston Rockets,of,4659.0,10816.0,4256.0,8593.0,6252.0,14819.0,4768.0,8213.0,8266.0,5363.0,12742.0,4551.0,7058.0,8983.0
Cory Joseph,Toronto Raptors,def,7002.0,34634.0,6954.0,10536.0,8186.0,18055.0,4772.0,2830.0,9225.0,7381.0,17740.0,5631.0,3962.0,9522.0
Cory Joseph,Toronto Raptors,of,6848.0,35146.0,6773.0,11618.0,8338.0,20114.0,5265.0,2798.0,10099.0,8078.0,17944.0,5559.0,3341.0,8819.0
Courtney Lee,Memphis Grizzlies,def,8144.0,18626.0,5208.0,7860.0,10187.0,24736.0,7202.0,6733.0,11184.0,10540.0,24110.0,6730.0,7790.0,13224.0
Courtney Lee,Memphis Grizzlies,of,7602.0,18801.0,5526.0,7789.0,11110.0,23798.0,7692.0,7821.0,12028.0,9847.0,23886.0,7483.0,9331.0,13120.0
Cristiano Felicio,Chicago Bulls,def,124.0,127.0,147.0,144.0,7.0,20.0,0.0,0.0,48.0,17.0,0.0,0.0,0.0,13.0
Cristiano Felicio,Chicago Bulls,of,73.0,289.0,86.0,148.0,13.0,44.0,26.0,0.0,17.0,113.0,45.0,0.0,0.0,42.0
D'Angelo Russell,Los Angeles Lakers,def,7883.0,33208.0,8281.0,14203.0,8076.0,25579.0,4228.0,2776.0,10439.0,7886.0,19796.0,3823.0,1889.0,9996.0
D'Angelo Russell,Los Angeles Lakers,of,7085.0,32894.0,7553.0,13620.0,8281.0,23905.0,4528.0,2219.0,10301.0,8291.0,19887.0,3537.0,2160.0,9787.0
D.J. Augustin,Oklahoma City Thunder,def,4280.0,16201.0,3810.0,3271.0,4370.0,9333.0,1822.0,1854.0,4795.0,3311.0,7865.0,1359.0,2795.0,3832.0
D.J. Augustin,Oklahoma City Thunder,of,3560.0,15401.0,3368.0,3423.0,3711.0,8960.0,1825.0,1267.0,4758.0,3314.0,7092.0,1557.0,1995.0,4497.0
Damian Lillard,Portland Trail Blazers,def,10803.0,50446.0,11560.0,13090.0,10363.0,24968.0,4680.0,2342.0,13023.0,9776.0,20871.0,4024.0,1439.0,14301.0
Damian Lillard,Portland Trail Blazers,of,9943.0,49192.0,10827.0,12974.0,9968.0,24991.0,4742.0,1940.0,13054.0,9294.0,20131.0,3542.0,1382.0,13463.0
Danilo Gallinari,Denver Nuggets,def,10225.0,26908.0,10691.0,18850.0,11164.0,18830.0,5566.0,3512.0,18499.0,10746.0,16789.0,5451.0,4911.0,17926.0
Danilo Gallinari,Denver Nuggets,of,10812.0,27290.0,10941.0,17591.0,10901.0,19538.0,5865.0,3531.0,16504.0,10862.0,17216.0,5989.0,4440.0,17913.0
Danny Green,San Antonio Spurs,def,4739.0,17103.0,4546.0,12527.0,6478.0,22014.0,5762.0,4821.0,9221.0,6202.0,17278.0,5256.0,4763.0,9446.0
Danny Green,San Antonio Spurs,of,4559.0,17600.0,5158.0,13740.0,7638.0,24041.0,5679.0,5683.0,9809.0,7347.0,21187.0,5853.0,6310.0,12225.0
Dante Cunningham,New Orleans Pelicans,def,5761.0,10143.0,6564.0,11135.0,5678.0,11124.0,4467.0,5555.0,9963.0,5995.0,10557.0,4297.0,7615.0,10926.0
Dante Cunningham,New Orleans Pelicans,of,5102.0,9193.0,6869.0,9441.0,5127.0,10189.0,3745.0,5724.0,8540.0,5217.0,9566.0,4001.0,5755.0,8739.0
Darrell Arthur,Denver Nuggets,def,12526.0,21320.0,12877.0,20960.0,7303.0,5399.0,2585.0,638.0,12067.0,7096.0,4576.0,2352.0,1132.0,13513.0
Darrell Arthur,Denver Nuggets,of,11020.0,18432.0,12484.0,19459.0,6856.0,5009.0,2355.0,829.0,11029.0,6519.0,4084.0,2482.0,1033.0,11016.0
